Epoch 1, Batch 100, Control Accuracy: 1.000, Test Accuracy: 1.000, Control Loss: 160.846, Test Loss: 161.063
Epoch 1, Batch 200, Control Accuracy: 1.000, Test Accuracy: 1.000, Control Loss: 161.079, Test Loss: 160.969
Epoch 1, Batch 300, Control Accuracy: 0.070, Test Accuracy: 0.180, Control Loss: 160.855, Test Loss: 160.924
Epoch 1, Batch 400, Control Accuracy: 0.000, Test Accuracy: 0.000, Control Loss: 160.798, Test Loss: 161.016
Epoch 1, Batch 500, Control Accuracy: 0.000, Test Accuracy: 0.000, Control Loss: 161.024, Test Loss: 161.022
Epoch 1, Batch 600, Control Accuracy: 0.330, Test Accuracy: 0.930, Control Loss: 160.293, Test Loss: 160.340
Epoch 1, Batch 700, Control Accuracy: 0.140, Test Accuracy: 0.000, Control Loss: 158.177, Test Loss: 157.498
Epoch 1, Batch 800, Control Accuracy: 0.770, Test Accuracy: 0.770, Control Loss: 157.614, Test Loss: 152.439
Epoch 2, Batch 100, Control Accuracy: 0.080, Test Accuracy: 0.130, Control Loss: 156.321, Test Loss: 151.712
Epoch 2, Batch 200, Control Accuracy: 0.980, Test Accuracy: 0.720, Control Loss: 151.434, Test Loss: 153.170
Epoch 2, Batch 300, Control Accuracy: 0.320, Test Accuracy: 0.510, Control Loss: 150.035, Test Loss: 150.531
Epoch 2, Batch 400, Control Accuracy: 0.750, Test Accuracy: 0.730, Control Loss: 151.998, Test Loss: 148.666
Epoch 2, Batch 500, Control Accuracy: 0.000, Test Accuracy: 0.600, Control Loss: 151.227, Test Loss: 152.329
Epoch 2, Batch 600, Control Accuracy: 0.000, Test Accuracy: 0.690, Control Loss: 146.670, Test Loss: 162.042
Epoch 2, Batch 700, Control Accuracy: 0.000, Test Accuracy: 0.690, Control Loss: 147.543, Test Loss: 170.233
Epoch 2, Batch 800, Control Accuracy: 0.000, Test Accuracy: 0.680, Control Loss: 142.031, Test Loss: 166.233
Epoch 3, Batch 100, Control Accuracy: 0.000, Test Accuracy: 0.530, Control Loss: 149.426, Test Loss: 166.733
Epoch 3, Batch 200, Control Accuracy: 0.000, Test Accuracy: 0.570, Control Loss: 138.880, Test Loss: 169.483
Epoch 3, Batch 300, Control Accuracy: 0.000, Test Accuracy: 0.480, Control Loss: 142.422, Test Loss: 169.483
Epoch 3, Batch 400, Control Accuracy: 0.000, Test Accuracy: 0.650, Control Loss: 141.833, Test Loss: 164.950
Epoch 3, Batch 500, Control Accuracy: 1.000, Test Accuracy: 0.460, Control Loss: 144.339, Test Loss: 162.809
Epoch 3, Batch 600, Control Accuracy: 1.000, Test Accuracy: 0.380, Control Loss: 141.392, Test Loss: 167.713
Epoch 3, Batch 700, Control Accuracy: 1.000, Test Accuracy: 0.590, Control Loss: 141.592, Test Loss: 167.729
Epoch 3, Batch 800, Control Accuracy: 1.000, Test Accuracy: 0.620, Control Loss: 138.583, Test Loss: 167.688
Epoch 4, Batch 100, Control Accuracy: 0.000, Test Accuracy: 0.010, Control Loss: 142.507, Test Loss: 158.872
Epoch 4, Batch 200, Control Accuracy: 0.990, Test Accuracy: 0.620, Control Loss: 139.571, Test Loss: 150.385
Epoch 4, Batch 300, Control Accuracy: 0.000, Test Accuracy: 0.600, Control Loss: 135.461, Test Loss: 148.122
Epoch 4, Batch 400, Control Accuracy: 0.960, Test Accuracy: 0.890, Control Loss: 143.129, Test Loss: 151.482
Epoch 4, Batch 500, Control Accuracy: 0.070, Test Accuracy: 0.980, Control Loss: 165.329, Test Loss: 151.540
Epoch 4, Batch 600, Control Accuracy: 0.650, Test Accuracy: 0.970, Control Loss: 155.694, Test Loss: 144.668
Epoch 4, Batch 700, Control Accuracy: 0.000, Test Accuracy: 0.990, Control Loss: 158.696, Test Loss: 146.473
Epoch 4, Batch 800, Control Accuracy: 0.650, Test Accuracy: 0.990, Control Loss: 153.673, Test Loss: 145.729
Epoch 5, Batch 100, Control Accuracy: 0.560, Test Accuracy: 0.570, Control Loss: 135.916, Test Loss: 141.117
Epoch 5, Batch 200, Control Accuracy: 0.650, Test Accuracy: 0.810, Control Loss: 144.102, Test Loss: 145.386
Epoch 5, Batch 300, Control Accuracy: 0.030, Test Accuracy: 0.620, Control Loss: 150.071, Test Loss: 156.766
Epoch 5, Batch 400, Control Accuracy: 0.530, Test Accuracy: 0.060, Control Loss: 146.600, Test Loss: 145.064
Epoch 5, Batch 500, Control Accuracy: 0.510, Test Accuracy: 0.010, Control Loss: 145.012, Test Loss: 143.877
Epoch 5, Batch 600, Control Accuracy: 0.020, Test Accuracy: 0.250, Control Loss: 156.367, Test Loss: 145.548
Epoch 5, Batch 700, Control Accuracy: 0.520, Test Accuracy: 1.000, Control Loss: 164.778, Test Loss: 140.947
Epoch 5, Batch 800, Control Accuracy: 0.600, Test Accuracy: 0.000, Control Loss: 166.424, Test Loss: 142.008
Epoch 6, Batch 100, Control Accuracy: 0.000, Test Accuracy: 0.000, Control Loss: 172.979, Test Loss: 143.254
Epoch 6, Batch 200, Control Accuracy: 0.350, Test Accuracy: 0.000, Control Loss: 171.954, Test Loss: 139.815
Epoch 6, Batch 300, Control Accuracy: 0.560, Test Accuracy: 0.000, Control Loss: 174.976, Test Loss: 141.602
Epoch 6, Batch 400, Control Accuracy: 0.560, Test Accuracy: 0.000, Control Loss: 174.233, Test Loss: 143.664
Epoch 6, Batch 500, Control Accuracy: 0.000, Test Accuracy: 0.000, Control Loss: 171.219, Test Loss: 140.485
Epoch 6, Batch 600, Control Accuracy: 0.480, Test Accuracy: 0.000, Control Loss: 172.732, Test Loss: 136.626
Epoch 6, Batch 700, Control Accuracy: 0.570, Test Accuracy: 0.000, Control Loss: 172.733, Test Loss: 140.879
Epoch 6, Batch 800, Control Accuracy: 0.540, Test Accuracy: 0.000, Control Loss: 171.228, Test Loss: 144.585
Epoch 7, Batch 100, Control Accuracy: 0.590, Test Accuracy: 0.000, Control Loss: 174.511, Test Loss: 143.040
Epoch 7, Batch 200, Control Accuracy: 0.670, Test Accuracy: 0.000, Control Loss: 173.218, Test Loss: 140.088
Epoch 7, Batch 300, Control Accuracy: 0.450, Test Accuracy: 0.000, Control Loss: 173.941, Test Loss: 140.427
Epoch 7, Batch 400, Control Accuracy: 0.150, Test Accuracy: 0.000, Control Loss: 174.884, Test Loss: 137.599
Epoch 7, Batch 500, Control Accuracy: 0.220, Test Accuracy: 0.580, Control Loss: 163.871, Test Loss: 138.389
Epoch 7, Batch 600, Control Accuracy: 0.560, Test Accuracy: 0.370, Control Loss: 155.692, Test Loss: 134.587
Epoch 7, Batch 700, Control Accuracy: 0.380, Test Accuracy: 0.740, Control Loss: 154.679, Test Loss: 137.949
Epoch 7, Batch 800, Control Accuracy: 0.550, Test Accuracy: 0.700, Control Loss: 154.493, Test Loss: 143.468
Epoch 8, Batch 100, Control Accuracy: 0.510, Test Accuracy: 0.960, Control Loss: 151.848, Test Loss: 133.471
Epoch 8, Batch 200, Control Accuracy: 0.390, Test Accuracy: 0.590, Control Loss: 153.389, Test Loss: 133.569
Epoch 8, Batch 300, Control Accuracy: 0.460, Test Accuracy: 0.590, Control Loss: 157.539, Test Loss: 136.269
Epoch 8, Batch 400, Control Accuracy: 0.540, Test Accuracy: 0.900, Control Loss: 152.399, Test Loss: 139.779
Epoch 8, Batch 500, Control Accuracy: 0.450, Test Accuracy: 0.820, Control Loss: 147.759, Test Loss: 136.922
Epoch 8, Batch 600, Control Accuracy: 0.350, Test Accuracy: 0.230, Control Loss: 151.195, Test Loss: 135.805
Epoch 8, Batch 700, Control Accuracy: 0.660, Test Accuracy: 0.420, Control Loss: 155.134, Test Loss: 142.004
Epoch 8, Batch 800, Control Accuracy: 0.640, Test Accuracy: 0.650, Control Loss: 152.084, Test Loss: 143.434
Epoch 9, Batch 100, Control Accuracy: 0.630, Test Accuracy: 0.680, Control Loss: 146.553, Test Loss: 139.905
Epoch 9, Batch 200, Control Accuracy: 0.530, Test Accuracy: 0.740, Control Loss: 147.952, Test Loss: 135.596
Epoch 9, Batch 300, Control Accuracy: 0.560, Test Accuracy: 0.540, Control Loss: 140.433, Test Loss: 131.830
Epoch 9, Batch 400, Control Accuracy: 0.510, Test Accuracy: 0.590, Control Loss: 142.570, Test Loss: 136.105
Epoch 9, Batch 500, Control Accuracy: 0.360, Test Accuracy: 0.680, Control Loss: 142.263, Test Loss: 139.485
Epoch 9, Batch 600, Control Accuracy: 0.300, Test Accuracy: 0.330, Control Loss: 139.589, Test Loss: 135.464
Epoch 9, Batch 700, Control Accuracy: 0.640, Test Accuracy: 0.520, Control Loss: 141.327, Test Loss: 135.372
Epoch 9, Batch 800, Control Accuracy: 0.500, Test Accuracy: 0.680, Control Loss: 136.800, Test Loss: 135.571
Epoch 10, Batch 100, Control Accuracy: 0.510, Test Accuracy: 0.950, Control Loss: 153.326, Test Loss: 133.690
Epoch 10, Batch 200, Control Accuracy: 0.510, Test Accuracy: 0.900, Control Loss: 160.270, Test Loss: 134.493
Epoch 10, Batch 300, Control Accuracy: 0.590, Test Accuracy: 0.410, Control Loss: 154.851, Test Loss: 138.933
Epoch 10, Batch 400, Control Accuracy: 0.350, Test Accuracy: 0.260, Control Loss: 165.679, Test Loss: 135.093
Epoch 10, Batch 500, Control Accuracy: 0.520, Test Accuracy: 0.000, Control Loss: 172.228, Test Loss: 136.638
Epoch 10, Batch 600, Control Accuracy: 0.480, Test Accuracy: 0.000, Control Loss: 174.483, Test Loss: 133.805
Epoch 10, Batch 700, Control Accuracy: 0.550, Test Accuracy: 0.000, Control Loss: 173.966, Test Loss: 142.713
Epoch 10, Batch 800, Control Accuracy: 0.550, Test Accuracy: 0.000, Control Loss: 172.475, Test Loss: 139.724
Epoch 11, Batch 100, Control Accuracy: 0.470, Test Accuracy: 0.000, Control Loss: 174.233, Test Loss: 134.524
