30 epochs
learned relu
initial positive coefficient: 1.0
initial negative coefficient: 0.0
Epoch 1, Batch 100, Control Accuracy: 0.000, Test Accuracy: 0.000, Control Loss: 160.908, Test Loss: 161.148
Epoch 1, Batch 200, Control Accuracy: 0.980, Test Accuracy: 0.640, Control Loss: 156.209, Test Loss: 160.434
Epoch 1, Batch 300, Control Accuracy: 0.670, Test Accuracy: 0.010, Control Loss: 154.494, Test Loss: 156.304
Epoch 1, Batch 400, Control Accuracy: 0.740, Test Accuracy: 0.870, Control Loss: 157.050, Test Loss: 156.951
Epoch 1, Batch 500, Control Accuracy: 0.000, Test Accuracy: 0.850, Control Loss: 152.811, Test Loss: 159.357
Epoch 1, Batch 600, Control Accuracy: 0.000, Test Accuracy: 0.650, Control Loss: 155.591, Test Loss: 170.338
Epoch 1, Batch 700, Control Accuracy: 0.000, Test Accuracy: 0.730, Control Loss: 153.444, Test Loss: 163.696
Epoch 1, Batch 800, Control Accuracy: 0.530, Test Accuracy: 0.690, Control Loss: 152.401, Test Loss: 152.355
Epoch 2, Batch 100, Control Accuracy: 0.610, Test Accuracy: 0.440, Control Loss: 149.334, Test Loss: 148.584
Epoch 2, Batch 200, Control Accuracy: 0.010, Test Accuracy: 0.000, Control Loss: 150.139, Test Loss: 144.740
Epoch 2, Batch 300, Control Accuracy: 0.750, Test Accuracy: 0.670, Control Loss: 148.183, Test Loss: 148.266
Epoch 2, Batch 400, Control Accuracy: 0.710, Test Accuracy: 0.650, Control Loss: 145.142, Test Loss: 146.825
Epoch 2, Batch 500, Control Accuracy: 0.610, Test Accuracy: 0.190, Control Loss: 148.453, Test Loss: 149.078
Epoch 2, Batch 600, Control Accuracy: 0.510, Test Accuracy: 0.780, Control Loss: 143.638, Test Loss: 144.203
Epoch 2, Batch 700, Control Accuracy: 0.600, Test Accuracy: 0.240, Control Loss: 152.729, Test Loss: 145.325
Epoch 2, Batch 800, Control Accuracy: 0.600, Test Accuracy: 0.010, Control Loss: 148.003, Test Loss: 143.186
Epoch 3, Batch 100, Control Accuracy: 0.520, Test Accuracy: 0.260, Control Loss: 139.161, Test Loss: 139.639
Epoch 3, Batch 200, Control Accuracy: 0.550, Test Accuracy: 0.490, Control Loss: 149.534, Test Loss: 142.224
Epoch 3, Batch 300, Control Accuracy: 0.570, Test Accuracy: 0.430, Control Loss: 138.602, Test Loss: 140.506
Epoch 3, Batch 400, Control Accuracy: 0.650, Test Accuracy: 0.600, Control Loss: 139.373, Test Loss: 140.901
Epoch 3, Batch 500, Control Accuracy: 0.000, Test Accuracy: 0.560, Control Loss: 140.011, Test Loss: 143.913
Epoch 3, Batch 600, Control Accuracy: 0.620, Test Accuracy: 0.600, Control Loss: 138.587, Test Loss: 144.720
Epoch 3, Batch 700, Control Accuracy: 0.650, Test Accuracy: 0.670, Control Loss: 143.139, Test Loss: 142.664
Epoch 3, Batch 800, Control Accuracy: 0.640, Test Accuracy: 0.380, Control Loss: 140.801, Test Loss: 138.037
Epoch 4, Batch 100, Control Accuracy: 0.510, Test Accuracy: 0.680, Control Loss: 133.528, Test Loss: 136.941
